,student_id,age,gender,country,device_type,internet_speed_mbps,study_hours_weekly,login_frequency_weekly,avg_session_duration_min,video_watch_time_min,assignments_submitted,forum_posts,quiz_attempts,avg_quiz_score,attendance_rate,engagement_score,final_grade,dropout
11027,11028,40,Male,Canada,Tablet,72.4,7.71,4,46.01540405762658,377.5350340640551,6,7,5,87.86,0.91,6.400675170320276,58.67256721768939,0
11028,11029,44,Male,Canada,Tablet,35.92,11.25,2,42.880918711221405,240.9221671301856,2,13,1,64.81,0.85,5.179610835650928,26.52046826121422,0
11029,11030,31,Male,USA,Tablet,49.18,18.93,11,20.081443426001783,427.5752016576226,4,14,3,73.26,0.83,9.216876008288112,28.00015986284276,0
11030,11031,23,Male,Canada,Mobile,40.17,8.47,3,40.53348740868526,327.62820164682984,1,12,6,65.57,0.65,5.579141008234149,27.68236692827452,0
11032,11033,19,Male,Canada,Tablet,49.3,2.26,12,56.27523499924608,516.2074250883194,6,10,3,51.88,0.95,5.059037125441597,25.535506930113016,0
11033,11034,49,Male,Canada,Mobile,75.86,13.13,13,22.75585133180149,275.1446008553436,1,14,6,89.16,0.57,6.714723004276719,48.06229762312927,1
11036,11037,42,Male,India,Tablet,46.09,14.89,9,25.993917760603026,228.671895423654,0,13,6,95.78,0.75,6.810359477118269,40.48451242418035,0
11040,11041,46,Male,USA,Mobile,42.37,7.8,4,58.42238967822718,264.7664528325951,1,11,5,45.34,0.73,4.863832264162975,29.515981404053512,0
11042,11043,22,Female,India,Mobile,66.48,12.95,10,57.11907821562853,305.6181897742657,4,11,7,73.31,0.94,7.613090948871329,36.36982773433792,0
11044,11045,37,Male,India,Laptop,67.81,7.84,4,22.903427424486846,223.2502473067031,4,11,6,85.28,0.47,5.468251236533516,40.0676597891056,1
11045,11046,18,Male,India,Mobile,65.71,13.61,6,31.20753611566345,550.9503124528431,1,5,3,58.28,0.52,7.637751562264215,37.97367498175736,1
11046,11047,39,Male,India,Laptop,41.6,9.73,9,31.9072983489708,221.280512686313,1,6,7,72.25,1.0,5.625402563431566,33.24180235067285,0
11047,11048,35,Female,Canada,Mobile,35.32,14.05,7,34.47865313314033,332.7344142421945,1,10,2,53.47,0.43,6.478672071210973,20.97781225865053,1
11048,11049,32,Male,India,Laptop,36.2,7.82,3,59.7510282199363,393.4015081328409,9,3,4,95.59,0.83,6.913007540664204,48.87318433215449,0
11050,11051,24,Male,USA,Tablet,64.08,5.95,2,27.466521671788875,194.34608681158645,4,7,2,80.95,0.64,3.956730434057932,49.89172147518276,0
11052,11053,23,Female,India,Tablet,48.43,14.22,2,42.15448192174655,491.6790316135595,5,13,3,96.69,0.53,8.324395158067798,50.2695502280784,1
11056,11057,47,Female,USA,Tablet,29.61,3.39,3,58.96537744859376,318.502753796804,3,14,1,56.33,0.56,3.40951376898402,29.60408464077404,1
11059,11060,49,Male,India,Laptop,48.31,11.0,3,43.37952142511825,404.23659076225294,7,9,4,98.69,0.73,7.521182953811265,45.07832108195249,0
11060,11061,27,Male,Canada,Tablet,48.96,10.24,6,35.79885482503765,109.54582608799578,0,9,5,45.97,0.46,4.619729130439978,23.213445716690245,1
11062,11063,27,Male,Canada,Laptop,28.93,10.86,8,50.484519629097065,66.68843340958506,8,1,2,69.93,0.42,5.591442167047925,38.45314023834892,1
11064,11065,33,Male,USA,Mobile,58.36,9.48,12,48.12425970747131,345.84665765672804,9,13,5,54.44,0.5,7.37323328828364,27.826043602905884,1
11065,11066,29,Male,India,Laptop,33.2,11.91,12,49.348899960776585,43.60291208839908,9,1,7,93.96,0.58,6.991014560441996,38.29558968470364,1
11066,11067,35,Female,India,Laptop,63.72,18.76,10,40.70105704615374,299.71293908299964,7,12,6,92.73,0.91,9.726564695415,53.12479224774312,0
11067,11068,40,Male,India,Mobile,45.06,6.48,14,15.965020250243736,339.5565639183029,2,7,7,78.68,0.73,5.441782819591515,47.073713264758254,0
11068,11069,18,Female,India,Tablet,56.33,16.57,1,63.07946638514021,358.0530693579216,9,7,4,67.9,0.67,9.361265346789608,37.67780378419633,0
11070,11071,39,Female,USA,Mobile,64.69,16.2,5,62.72136247495216,351.23177831612105,9,2,7,59.15,0.59,9.816158891580605,33.81406252662363,1
11071,11072,23,Male,USA,Mobile,44.95,10.65,1,39.62816449847177,296.0332135160764,4,11,7,68.95,0.84,6.875166067580381,37.76335689556664,0
11072,11073,20,Female,USA,Laptop,68.53,8.78,4,6.036337269466877,235.4816943240765,0,7,2,69.14,0.66,4.211408471620382,31.292830030603465,0
11074,11075,45,Female,Canada,Tablet,65.14,11.9,7,19.03807906682102,511.61660717853385,1,1,6,50.99,0.56,7.528083035892669,27.07945553560605,1
11075,11076,19,Female,India,Tablet,42.17,15.95,5,49.37848133440082,145.21681746017222,4,2,7,74.33,0.51,7.71108408730086,33.53240073806684,1
11079,11080,33,Male,USA,Tablet,64.33,9.67,3,46.51828158825349,219.9970133789228,7,2,6,83.29,0.63,6.600985066894615,44.606926369703366,0
11080,11081,44,Male,USA,Tablet,55.5,10.9,12,21.14512938771167,127.20049776675506,5,8,6,59.15,0.89,6.106002488833775,39.67572550989709,0
11082,11083,40,Female,Canada,Laptop,57.48,11.82,14,47.43692914169402,339.692309638561,6,1,7,48.32,0.94,7.844461548192805,21.89390617023833,0
11083,11084,45,Male,Canada,Laptop,55.45,9.45,4,43.64906648758662,318.5705733571691,1,4,5,75.82,0.98,5.627852866785845,43.47069052145848,0
11085,11086,24,Female,Canada,Tablet,16.08,6.45,2,39.58935026098493,311.0471127394944,0,3,6,68.71,0.59,4.690235563697472,39.653932614105415,1
11087,11088,37,Female,USA,Laptop,38.63,8.43,8,25.98775463781523,288.03164433413525,3,2,3,84.73,0.46,5.169158221670676,48.189651495900506,1
11088,11089,41,Female,India,Mobile,55.0,8.03,4,38.11154736827388,379.4797800860581,0,2,2,60.35,0.61,4.70639890043029,37.73843015989803,0
11089,11090,46,Female,India,Tablet,72.62,8.7,13,34.234006781944665,526.4066289237487,4,0,6,42.37,0.56,7.242033144618743,15.877910083269857,1
11090,11091,44,Female,Canada,Laptop,75.91,3.19,5,29.639929423539925,137.6343837669453,3,9,4,87.15,0.91,3.0451719188347264,44.040756177988,0
11092,11093,43,Female,India,Laptop,67.91,16.49,6,55.09027389568124,334.0168478217495,7,7,3,84.92,0.43,8.617084239108745,45.33694770672533,1
11093,11094,30,Female,USA,Tablet,57.77,5.46,8,51.43510230660208,435.97632986043016,9,7,1,85.13,0.66,5.817881649302151,45.10867988323922,0
11094,11095,44,Male,India,Mobile,64.71,10.26,10,25.967437273923657,247.7541407477745,6,14,6,59.75,0.73,6.716770703738873,30.935717716679108,0
11096,11097,49,Female,Canada,Laptop,56.73,6.47,13,41.47134406509902,497.7640299506816,5,10,6,72.16,0.67,6.629820149753408,49.53673838070228,0
11099,11100,32,Female,India,Mobile,67.35,13.93,5,35.28561301560733,278.8890784018963,0,5,5,70.19,0.93,6.57344539200948,40.33076645418249,0
11100,11101,38,Female,USA,Mobile,34.36,14.03,4,43.44892432729967,433.7356678610737,3,4,3,93.48,0.41,7.577678339305368,51.4217611652451,1
11102,11103,23,Female,India,Mobile,48.05,14.55,11,42.15097932326011,176.10658064588245,7,5,5,87.87,0.98,7.645532903229412,48.067402768322346,0
11104,11105,40,Male,Canada,Laptop,44.57,15.2,3,40.08359450399172,279.9934806402113,7,9,2,46.04,0.8,7.759967403201057,23.84490998462896,0
11105,11106,45,Female,India,Laptop,51.6,9.41,7,26.892838008411456,289.60695448682566,7,11,7,63.41,0.42,7.071034772434129,38.94539822510071,1
11107,11108,38,Female,India,Mobile,53.23,6.43,11,38.99261727087362,480.7230268487584,0,7,2,99.76,0.53,4.732615134243792,47.62151780661019,1
11108,11109,32,Female,Canada,Tablet,26.37,11.33,8,29.44142929921056,180.6721816568668,3,1,6,92.53,0.61,6.102360908284335,54.82969603869734,0
11112,11113,48,Male,USA,Laptop,33.96,7.76,5,46.88823857182361,334.9772295220481,0,8,5,72.75,0.83,5.002886147610241,39.83610133624841,0
11114,11115,26,Female,Canada,Mobile,45.15,5.66,7,45.62165051474832,429.22629574662153,7,1,5,62.43,0.64,6.244131478733108,25.77292423127728,0
11115,11116,49,Female,India,Tablet,52.02,4.61,12,18.390259203045275,329.331740535462,4,0,4,60.54,0.99,4.62965870267731,27.55743423937508,0
11121,11122,24,Female,India,Mobile,37.4,3.52,2,34.30122676015702,324.8290955152878,9,14,4,91.65,0.47,5.280145477576439,53.80434750999358,1
11123,11124,47,Female,Canada,Laptop,79.31,12.77,4,28.403005182910043,53.13138307149904,5,4,6,80.37,0.76,6.296656915357495,43.93704948723269,0
11127,11128,46,Female,USA,Mobile,58.78,8.43,12,35.5137042158237,419.5697654522854,0,12,7,72.0,0.81,6.026848827261427,29.91766493657382,0
11128,11129,37,Male,Canada,Tablet,25.16,8.0,1,58.89632844211957,376.63409162545446,7,7,4,62.78,0.86,6.483170458127272,28.037981312783323,0
11132,11133,43,Male,USA,Mobile,34.8,9.12,9,46.092023790754666,199.1808643444861,3,13,1,71.6,0.76,4.53190432172243,36.90372099618132,0
11134,11135,44,Female,Canada,Tablet,79.37,5.12,14,65.67945012189404,412.3671987995419,3,3,1,70.41,0.93,4.39783599399771,43.43036799992092,0
11135,11136,18,Male,India,Tablet,38.67,6.13,1,21.58843750979037,328.46532932436287,7,0,6,74.46,0.61,6.081326646621815,36.22435398375076,0
11136,11137,38,Female,Canada,Laptop,64.79,5.3,1,60.018120792426,190.39436656780777,4,0,4,61.89,0.71,4.141971832839039,25.999957655421674,0
11137,11138,24,Female,USA,Laptop,55.72,6.71,3,54.28132920503705,263.5730235617995,2,14,3,75.48,0.88,4.330865117808997,40.426837581031,0
11138,11139,48,Female,India,Mobile,49.49,10.19,12,43.57943674252899,482.1719474517607,5,8,2,100.89,0.85,6.867859737258804,33.214102519795325,0
11144,11145,28,Female,Canada,Tablet,19.77,7.54,1,29.524789230876426,332.9287214211675,9,7,4,60.77,0.92,6.526643607105838,35.320890495186326,0
11146,11147,35,Male,Canada,Laptop,33.04,13.33,13,21.102911214349756,122.8678741582701,3,8,4,83.28,0.89,6.013339370791351,42.0362977830678,0
11149,11150,48,Female,India,Mobile,40.52,8.43,9,37.15358857156596,74.18325956503577,2,13,3,69.61,0.65,3.899916297825179,32.846899295767635,0
11151,11152,20,Male,USA,Tablet,56.21,11.09,10,15.133427072261494,345.59561254033935,7,0,7,79.21,0.69,7.854978062701697,38.823713961969865,0
11152,11153,48,Male,USA,Laptop,56.45,13.61,7,40.85818941361071,459.378841775605,9,13,5,81.53,0.73,9.179894208878023,46.81742677167923,0
11157,11158,28,Male,USA,Mobile,67.07,9.75,3,38.76202485388069,231.5078318097372,6,4,1,61.32,0.41,5.482539159048686,37.46045427206298,1
11158,11159,23,Male,Canada,Laptop,65.89,8.69,7,43.77896164947632,81.9872785588077,0,3,3,58.38,0.48,3.616936392794039,27.46759726400102,1
11162,11163,36,Female,USA,Mobile,49.76,10.58,8,47.37019475258228,319.5819201530905,0,3,2,68.07,0.79,5.171909600765453,39.47537923570533,0
11164,11165,35,Male,Canada,Mobile,48.18,8.1,14,28.91838395082033,275.51899694840665,6,11,6,47.41,0.61,6.207594984742033,17.83033235025376,0
11165,11166,47,Male,USA,Tablet,32.27,6.04,11,59.9610471879196,153.04088735199963,6,6,3,53.56,0.68,4.377204436759998,30.345662345119266,0
11166,11167,29,Male,USA,Mobile,85.06,4.64,13,65.63251427179975,353.6965852047602,9,9,7,62.93,0.84,6.360482926023801,35.70112340588878,0
11168,11169,49,Male,India,Mobile,50.66,9.05,8,48.025135663140766,263.97944184478496,8,13,7,67.26,0.5,7.034897209223926,26.916487662270605,1
11170,11171,22,Male,USA,Tablet,30.33,11.66,3,47.96655393307338,328.3123965920066,7,3,6,66.54,0.51,7.7395619829600335,36.92765330699128,1
11171,11172,26,Female,Canada,Mobile,58.44,13.1,11,39.95172449592175,476.3999163199647,5,0,1,61.09,0.63,7.511999581599823,39.22187830892769,0
11172,11173,19,Male,India,Laptop,37.49,7.28,14,24.29814314088399,385.262306444426,7,9,2,88.55,0.44,5.910311532222131,43.62897735508186,1
11175,11176,23,Female,USA,Mobile,44.96,8.61,9,52.72165620796903,558.0632641278592,6,13,1,98.22,0.82,6.773316320639296,58.1399371827242,0
11176,11177,46,Female,Canada,Laptop,54.45,9.81,9,19.71603502928148,178.89062283887893,0,4,4,67.38,0.83,4.637453114194395,39.313609038416175,0
11178,11179,27,Female,Canada,Mobile,73.22,9.41,8,32.188745363858274,201.70752995273412,5,5,5,95.29,0.73,5.83153764976367,52.41788505742866,0
11181,11182,21,Male,Canada,Tablet,49.01,9.51,13,39.06766141990059,298.5488510063605,7,9,2,99.91,0.94,6.145744255031802,44.63224511216117,0
11182,11183,39,Female,India,Laptop,52.24,9.56,5,45.63123329005544,258.8313911475776,9,2,5,68.05,0.52,6.962156955737888,41.50351274910957,1
11183,11184,38,Male,USA,Mobile,45.88,13.66,12,30.82735943796449,279.2522640047684,1,0,2,96.11,0.84,6.0942613200238425,52.75689267049823,0
11184,11185,34,Male,Canada,Laptop,53.03,5.93,5,52.81515413481202,57.233417729977134,4,4,6,71.96,0.78,4.065167088649885,39.27786634549108,0
11185,11186,32,Male,Canada,Laptop,32.99,10.82,6,44.95067014708264,311.6839308357326,9,2,1,76.01,0.48,6.804419654178663,35.30159826445362,1
11187,11188,33,Male,Canada,Tablet,51.45,9.39,10,37.984925911068174,326.4843552462865,1,2,1,45.45,0.44,4.849421776231433,24.373691271552783,1
11188,11189,34,Female,USA,Mobile,56.02,8.38,3,61.93575474092992,178.95177113815646,0,12,3,87.36,0.86,4.008758855690783,45.55886698628786,0
11189,11190,20,Female,India,Tablet,72.38,8.33,12,11.996501678139854,205.86023757747503,6,8,2,37.23,0.68,5.128301187887375,23.338857573147344,0
11191,11192,22,Male,Canada,Mobile,39.64,10.87,4,48.33179085612198,273.18694507086605,2,4,1,91.22,0.42,5.22693472535433,45.656757728819066,1
11194,11195,46,Female,India,Tablet,61.95,11.24,8,20.43031844256814,337.8491058449681,4,13,5,83.42,0.44,6.86124552922484,45.09942205582109,1
11195,11196,38,Female,USA,Laptop,60.85,15.16,3,73.82147064314421,373.6593639212727,0,4,4,51.54,0.81,7.216296819606364,29.72534206014912,0
11197,11198,43,Male,Canada,Laptop,50.72,8.59,2,27.22195860421504,211.58134279623908,2,14,3,59.07,0.96,4.634906713981195,20.50115864514774,0
11202,11203,25,Male,Canada,Laptop,36.1,2.32,13,21.8176992553528,91.83416645302684,1,12,7,69.15,0.57,2.7551708322651343,31.42399388771829,1
11203,11204,22,Male,Canada,Tablet,60.71,14.7,14,24.8720115052761,390.010417488559,1,11,2,62.74,0.82,6.9600520874427945,32.7730383599647,0
11206,11207,44,Male,India,Mobile,36.55,11.02,11,2.074409111042087,221.09539878597096,2,5,3,62.25,0.4,5.411476993929854,27.03942809389689,1
11207,11208,33,Female,Canada,Mobile,53.9,4.02,12,29.55266309082013,214.85099092641792,9,1,5,52.79,0.53,5.080254954632089,21.945579981582256,1
11208,11209,18,Female,Canada,Laptop,37.26,0.38,8,54.783507567477535,129.2910823704273,1,7,2,79.27,0.48,1.3604554118521364,38.03984100953462,1
11209,11210,33,Male,USA,Laptop,39.65,11.84,11,57.4332752136738,527.0727292060018,0,2,4,84.47,0.6,6.987363646030008,55.27946665173791,0
11210,11211,22,Female,Canada,Laptop,55.17,9.39,3,26.013584487611094,271.34952286951136,7,0,2,84.55,0.51,5.973747614347558,46.376100764406345,1
11211,11212,20,Male,USA,Mobile,40.4,11.53,10,52.85619826915687,498.1891079092912,1,14,6,72.36,0.41,7.349945539546455,33.891173744848444,1
11214,11215,48,Female,USA,Tablet,15.52,13.35,11,35.65164198348017,350.23861054336624,3,12,4,75.08,0.68,7.156193052716831,37.97121447620832,0
11215,11216,30,Male,USA,Mobile,58.19,13.0,3,14.344388968025804,297.80192472937034,7,2,6,85.04,0.5,7.989009623646852,40.395194382840586,1
11216,11217,41,Female,India,Laptop,47.0,6.54,2,6.84251146614632,357.2392276912927,4,12,5,78.75,0.68,5.548196138456463,35.960109664283806,0
11218,11219,40,Female,USA,Laptop,29.35,8.2,8,30.26892241433901,309.5927628084842,4,13,1,42.47,0.49,5.00796381404242,26.568764321414484,1
11219,11220,28,Female,USA,Mobile,63.2,6.56,5,35.87301645173207,137.10623750886057,6,13,6,57.24,0.51,5.053531187544303,24.81972322985417,1
11221,11222,19,Male,Canada,Laptop,51.1,12.85,7,41.83815029596562,245.79895337302952,2,1,1,58.11,0.48,5.683994766865148,26.676540238829567,1
11227,11228,47,Male,India,Laptop,51.94,8.95,2,32.76301117562872,203.04773930429445,2,3,1,79.81,0.45,4.300238696521473,38.62673745428853,1
11229,11230,23,Male,India,Mobile,28.21,6.46,9,50.62662236295907,417.6754994023703,2,7,6,64.18,0.67,5.626377497011852,31.338336650015407,0
11231,11232,42,Female,India,Mobile,78.21,7.0,8,24.880572282091087,232.6699688501756,8,8,4,84.3,0.93,5.663349844250878,51.84245493638288,0
11233,11234,25,Male,Canada,Tablet,72.08,12.6,13,38.07061640807258,273.1951080478737,6,9,2,71.99,0.95,6.745975540239368,44.14525700392687,0
11235,11236,18,Male,India,Tablet,7.74,3.23,6,48.38365367683065,96.50464936733604,4,8,4,45.32,0.82,3.0515232468366804,23.51684967915074,0
11237,11238,24,Male,India,Laptop,34.46,12.28,1,56.99924368573051,454.2021210708237,7,4,1,79.67,0.55,7.555010605354118,37.31629440071234,1
11238,11239,49,Female,USA,Mobile,61.62,11.45,5,56.056478039677536,450.4493103025881,7,13,1,97.02,0.93,7.287246551512941,45.10904626136188,0
11239,11240,23,Female,USA,Mobile,18.35,11.03,13,52.96804406667168,194.6729193506866,8,5,1,73.31,0.79,6.082364596753433,40.1144970279348,0
11240,11241,38,Female,Canada,Mobile,73.05,6.8,5,75.55872333702894,345.7407290105489,3,6,3,66.39,0.66,4.968703645052745,31.799506200239964,0
11242,11243,36,Female,USA,Laptop,58.6,5.76,13,52.21061390701151,357.9294937287773,9,11,5,38.43,0.52,6.317647468643886,18.346176722326224,1
11243,11244,39,Male,USA,Laptop,60.21,11.05,11,52.84752310023492,533.207435336741,4,4,6,65.74,0.93,7.981037176683705,33.14511795169321,0
11244,11245,48,Male,India,Tablet,49.95,11.19,10,42.97542459157384,404.882494072592,8,9,7,93.87,0.76,8.38141247036296,49.7332520868529,0
11245,11246,38,Female,India,Laptop,34.28,15.11,4,29.842778074851307,299.8325675836688,0,8,4,85.08,0.64,6.832162837918343,46.468709122445006,0
11247,11248,41,Male,Canada,Laptop,80.43,12.95,10,15.455749499959154,148.55854856092026,9,2,4,100.05,0.4,7.227792742804601,53.99353951061221,1
11248,11249,37,Male,USA,Laptop,54.71,14.12,13,28.04759306435564,453.51846578740833,0,10,4,69.44,0.71,7.303592328937041,32.89703358118425,0
11250,11251,43,Male,India,Tablet,61.39,11.25,9,38.50010605592684,279.2346621930056,2,12,1,64.35,0.96,5.371173310965029,26.72694645818522,0
11253,11254,35,Female,USA,Tablet,41.89,5.17,14,46.33996659120575,166.64125556505277,9,5,2,78.25,0.46,4.584206277825264,40.369467298542006,1
11256,11257,33,Female,Canada,Tablet,53.92,23.5,4,44.380025127277335,350.54870150821137,8,13,2,40.17,0.77,10.802743507541056,31.97708664649092,0
11257,11258,26,Male,USA,Tablet,75.92,8.4,4,11.831136823920817,356.9817130751811,9,1,1,77.06,0.81,6.304908565375905,42.598991290061775,0
11262,11263,46,Female,USA,Mobile,57.58,10.13,12,25.438284903101817,416.3496712596961,2,6,2,109.43,0.74,5.920748356298481,53.85444714735429,0
11264,11265,33,Female,Canada,Tablet,41.85,6.18,2,17.276488921715167,321.73553972561314,8,6,2,60.15,0.65,5.462677698628066,41.71530894147951,0
11267,11268,30,Female,Canada,Mobile,72.45,6.31,4,33.420623987066534,73.29725971041344,2,4,5,109.85,0.49,3.659486298552067,60.74139382595972,1
11268,11269,39,Female,India,Tablet,26.22,7.47,12,17.89629847821789,325.0322932568529,0,4,1,55.82,0.51,4.066161466284264,29.19580146518425,1
11270,11271,39,Male,Canada,Laptop,42.2,13.6,10,23.022860195023316,278.61918153921226,3,7,4,79.18,0.44,6.873095907696061,40.9093867698669,1
11275,11276,46,Female,USA,Laptop,57.89,8.48,3,54.20106463917426,419.2836390635439,3,8,4,75.53,0.8,6.040418195317719,38.10599218940048,0
11276,11277,33,Male,India,Laptop,62.0,8.41,5,57.05502671254328,344.275991043431,5,11,6,65.25,0.6,6.444379955217156,40.82978709667153,0
11279,11280,33,Male,Canada,Mobile,43.68,14.4,9,44.35219577108551,285.0367027952028,1,3,4,80.64,0.74,6.745183513976015,30.944617742303777,0
11280,11281,23,Male,USA,Tablet,40.45,16.84,3,20.824108980014618,305.8670156800008,1,0,7,54.02,0.79,8.181335078400004,27.03692594810488,0
11281,11282,48,Male,Canada,Mobile,46.88,3.89,14,76.00614793064051,272.7685297878343,0,2,6,25.31,0.85,3.730842648939172,14.537898083653554,0
11284,11285,18,Female,Canada,Laptop,53.83,5.09,10,37.98523310840464,254.55075666547535,6,10,5,49.92,0.86,4.999753783327376,34.402887547975155,0
11285,11286,42,Female,Canada,Tablet,34.39,7.51,14,50.79952142423152,220.08239014482385,8,0,2,65.09,0.92,5.353411950724119,37.69791326757787,0
11286,11287,26,Female,USA,Mobile,48.3,14.81,14,63.93178563943,239.4915614087595,1,8,3,66.48,0.95,6.440457807043797,37.142357823310086,0
11288,11289,48,Female,Canada,Mobile,50.73,12.68,3,43.68217667423855,357.5805247499596,7,10,6,40.36,0.74,8.191902623749797,18.39946774562447,0
11289,11290,44,Female,Canada,Mobile,57.93,9.92,12,72.25733141314396,233.9272496665311,9,7,2,66.01,0.89,6.345636248332656,43.49445519190792,0
11290,11291,41,Female,India,Laptop,42.29,6.37,9,7.597214122950007,10.176774328005706,2,9,5,75.03,0.64,3.3618838716400288,41.57182601921225,0
11292,11293,43,Female,USA,Mobile,28.75,13.12,11,46.96920118881604,297.26177293602285,7,4,7,54.69,0.5,8.222308864680114,28.85863229471716,1
11293,11294,46,Female,Canada,Tablet,67.36,5.88,7,29.669452232164552,196.71343183096104,3,7,7,71.41,0.97,4.747567159154805,36.3199125992526,0
11297,11298,45,Female,USA,Laptop,63.47,10.31,13,34.0756486489229,564.2654774261332,0,3,2,58.87,0.61,6.314327387130666,31.336452331016343,0
11299,11300,25,Female,Canada,Tablet,57.18,14.49,9,37.50903294554151,252.95811135831747,5,0,4,77.04,0.76,7.411790556791586,41.82383097472501,0
11302,11303,22,Female,India,Laptop,38.9,8.22,11,51.9879362919009,275.2458971620197,0,11,7,73.26,0.78,5.242229485810099,37.42133885111293,0
11303,11304,27,Female,USA,Laptop,34.29,12.34,2,51.596678137379584,187.432552442658,5,3,2,77.27,0.77,6.03916276221329,42.7615374037943,0
11305,11306,27,Male,USA,Mobile,27.39,7.84,4,25.22312243294091,349.42444390506074,2,1,7,81.07,0.89,5.899122219525305,35.29772541682914,0
11306,11307,21,Female,USA,Tablet,38.66,8.73,1,22.843375189459465,458.1789436881979,6,0,1,74.96,0.5,6.30989471844099,38.90811449598494,1
11307,11308,26,Female,India,Mobile,63.67,9.07,5,42.58830622413671,334.8808272074669,3,10,4,55.89,0.54,5.795404136037335,34.5826188274123,1
11309,11310,43,Male,Canada,Mobile,50.08,10.79,1,47.59863810435365,373.3992572492061,6,2,4,76.46,0.82,7.10399628624603,33.68961885274423,0
11313,11314,26,Female,USA,Tablet,38.42,7.18,3,51.84024920726945,326.2010755242748,6,0,2,79.03,0.45,5.385005377621375,37.788484863767806,1
11320,11321,37,Male,India,Laptop,51.62,10.53,9,35.44334018897138,488.9704855808017,3,13,2,47.51,0.6,6.603852427904009,26.004608517886677,0
11321,11322,42,Male,USA,Tablet,59.4,6.2,12,34.84180532698477,122.2777312463274,6,2,1,69.53,0.54,3.871388656231637,41.11366810118659,1
11322,11323,39,Male,Canada,Tablet,38.03,13.82,10,69.82165790106338,299.0869731337792,4,4,7,86.67,0.56,7.841434865668896,41.40573101877671,1
11324,11325,20,Male,India,Tablet,68.19,6.56,6,25.15934582513024,11.316716684915775,2,9,3,57.13,0.78,3.0245835834245787,34.01751012996128,0
11327,11328,43,Male,India,Laptop,45.36,6.27,4,48.921541833430425,176.67791979775603,3,8,1,52.93,0.63,3.56438959898878,32.82700734221328,0
11329,11330,38,Female,India,Laptop,39.04,11.17,11,52.03264177663124,189.94916672203817,5,6,7,41.24,0.56,6.700745833610191,24.66175514605667,1
11333,11334,35,Male,India,Laptop,49.03,3.41,6,45.77437945737663,153.5240730688682,1,11,7,49.77,0.66,3.3906203653443407,21.90663452552688,0
11335,11336,19,Female,Canada,Laptop,74.41,2.99,5,54.90311193471328,317.5560437111393,1,3,2,62.82,0.52,3.0847802185556965,34.92454498988654,1
11336,11337,29,Male,USA,Mobile,49.7,11.3,5,54.559077113233215,171.8579474121679,7,0,5,75.35,0.7,6.64928973706084,46.21836881816672,0
11338,11339,22,Male,Canada,Mobile,47.68,23.93,7,10.88772346607852,285.6938104705378,9,11,5,41.9,0.95,11.407469052352688,24.40949554402612,0
11339,11340,37,Male,India,Mobile,39.82,6.26,10,-0.0184103615081312,307.4033911064952,1,7,2,66.91,0.76,4.015016955532476,29.754474392037014,0
11344,11345,18,Male,USA,Mobile,49.04,5.22,6,31.53600064321074,595.8994816333275,4,2,7,77.97,0.91,6.745497408166638,54.61881827449773,0
11345,11346,18,Female,USA,Tablet,47.61,12.94,10,43.17092336949192,423.2801377649405,9,4,5,84.39,0.45,8.798400688824703,44.06381408657859,1
11347,11348,44,Female,India,Laptop,86.47,2.49,7,34.22399753894236,214.01454960943607,3,2,2,50.19,0.52,2.81707274804718,29.0529568522105,1
11348,11349,18,Female,USA,Mobile,78.88,16.49,3,18.100326078285025,139.6427248397371,4,13,4,78.08,0.48,7.245213624198684,41.39070312942795,1
11350,11351,37,Male,India,Laptop,38.1,8.2,9,24.58166137136739,422.3600750033535,9,4,3,70.54,0.86,6.971800375016766,36.07237923336416,0
11352,11353,47,Female,USA,Laptop,54.03,12.88,2,21.695195152597147,460.3611739998721,4,9,1,56.84,0.77,7.16580586999936,32.393411248835505,0
11353,11354,26,Female,Canada,Tablet,38.87,7.13,13,39.63271895807171,342.37555212750163,6,3,7,86.47,0.58,6.450877760637509,48.49802514790026,1
11354,11355,32,Male,USA,Mobile,71.97,7.76,4,23.7344547720479,406.0209342000834,5,7,2,75.46,0.44,5.758104671000417,43.16997527002966,1
11355,11356,20,Female,USA,Mobile,56.14,10.42,4,45.54284443765564,418.6626827494518,8,0,4,93.87,0.55,7.619313413747258,48.2393812109261,1
11356,11357,31,Female,Canada,Tablet,55.09,7.13,10,37.69997890580273,182.73616583340944,2,9,2,55.24,0.49,3.8526808291670473,35.12545085558646,1
11357,11358,40,Male,India,Tablet,45.66,7.17,8,32.79086522922647,306.4566338890967,7,13,1,56.29,0.74,5.283283169445483,35.441543727141095,0
11361,11362,49,Male,India,Mobile,30.6,11.94,11,62.93449714847363,281.61211062141155,8,4,6,80.44,0.51,7.790060553107058,46.931279059762105,1
11362,11363,29,Male,India,Mobile,40.31,14.03,5,28.159587344247093,332.1753347103613,2,7,1,59.4,0.86,6.469876673551807,34.435797930041566,0
11364,11365,43,Male,India,Tablet,20.0,20.07,2,46.71960705465139,449.70269178506027,1,14,7,77.66,0.86,9.8695134589253,40.58583624834645,0
11368,11369,48,Male,USA,Mobile,63.3,20.27,6,39.29051703424371,363.8726309839794,2,8,7,83.11,0.54,9.700363154919897,43.90756302205904,1
11372,11373,45,Female,Canada,Tablet,39.9,11.34,3,60.09058188514165,288.37817238154366,7,1,3,80.9,0.8,6.843890861907719,40.00117368695472,0
